horizon,n_features,r2,dropped
48,5,0.18054879010009794,"pm2_5_lag_24h, day_of_week, rolling_30day_std, aqi_rolling_6h, o3, pm2_5_lag_72h, pm10, pressure, pm2_5_lag_48h, pm2_5, is_weekend, no2, wind_speed, temperature, so2, aqi_lag_48h, aqi_rolling_24h, co, hour, rolling_30day_avg, aqi_change_rate"
48,4,0.19310413965254425,"humidity, pm2_5_lag_24h, day_of_week, rolling_30day_std, aqi_rolling_6h, o3, pm2_5_lag_72h, pm10, pressure, pm2_5_lag_48h, pm2_5, is_weekend, no2, wind_speed, temperature, so2, aqi_lag_48h, aqi_rolling_24h, co, hour, rolling_30day_avg, aqi_change_rate"
48,3,0.14498313868171886,"aqi_lag_72h, humidity, pm2_5_lag_24h, day_of_week, rolling_30day_std, aqi_rolling_6h, o3, pm2_5_lag_72h, pm10, pressure, pm2_5_lag_48h, pm2_5, is_weekend, no2, wind_speed, temperature, so2, aqi_lag_48h, aqi_rolling_24h, co, hour, rolling_30day_avg, aqi_change_rate"
72,26,0.10919113537307179,
72,25,0.10967013981686924,aqi_change_rate
72,24,0.11513537777538574,"rolling_30day_avg, aqi_change_rate"
72,23,0.11714364837541102,"hour, rolling_30day_avg, aqi_change_rate"
72,22,0.11273388501993797,"co, hour, rolling_30day_avg, aqi_change_rate"
72,21,0.11091470708174256,"aqi_rolling_24h, co, hour, rolling_30day_avg, aqi_change_rate"
72,20,0.11181449737124216,"aqi_lag_48h, aqi_rolling_24h, co, hour, rolling_30day_avg, aqi_change_rate"
72,19,0.12088730818389037,"so2, aqi_lag_48h, aqi_rolling_24h, co, hour, rolling_30day_avg, aqi_change_rate"
72,18,0.11925504467152204,"temperature, so2, aqi_lag_48h, aqi_rolling_24h, co, hour, rolling_30day_avg, aqi_change_rate"
72,17,0.10073639547614688,"wind_speed, temperature, so2, aqi_lag_48h, aqi_rolling_24h, co, hour, rolling_30day_avg, aqi_change_rate"
72,16,0.10056121555323883,"no2, wind_speed, temperature, so2, aqi_lag_48h, aqi_rolling_24h, co, hour, rolling_30day_avg, aqi_change_rate"
72,15,0.10415578657487068,"is_weekend, no2, wind_speed, temperature, so2, aqi_lag_48h, aqi_rolling_24h, co, hour, rolling_30day_avg, aqi_change_rate"
72,14,0.10351763974216255,"pm2_5, is_weekend, no2, wind_speed, temperature, so2, aqi_lag_48h, aqi_rolling_24h, co, hour, rolling_30day_avg, aqi_change_rate"
72,13,0.09678901546798813,"pm2_5_lag_48h, pm2_5, is_weekend, no2, wind_speed, temperature, so2, aqi_lag_48h, aqi_rolling_24h, co, hour, rolling_30day_avg, aqi_change_rate"
72,12,0.1035460428429712,"pressure, pm2_5_lag_48h, pm2_5, is_weekend, no2, wind_speed, temperature, so2, aqi_lag_48h, aqi_rolling_24h, co, hour, rolling_30day_avg, aqi_change_rate"
72,11,0.101317889789597,"pm10, pressure, pm2_5_lag_48h, pm2_5, is_weekend, no2, wind_speed, temperature, so2, aqi_lag_48h, aqi_rolling_24h, co, hour, rolling_30day_avg, aqi_change_rate"
72,10,0.09934179770785989,"pm2_5_lag_72h, pm10, pressure, pm2_5_lag_48h, pm2_5, is_weekend, no2, wind_speed, temperature, so2, aqi_lag_48h, aqi_rolling_24h, co, hour, rolling_30day_avg, aqi_change_rate"
72,9,0.09978345668697863,"o3, pm2_5_lag_72h, pm10, pressure, pm2_5_lag_48h, pm2_5, is_weekend, no2, wind_speed, temperature, so2, aqi_lag_48h, aqi_rolling_24h, co, hour, rolling_30day_avg, aqi_change_rate"
72,8,0.10044836434708226,"aqi_rolling_6h, o3, pm2_5_lag_72h, pm10, pressure, pm2_5_lag_48h, pm2_5, is_weekend, no2, wind_speed, temperature, so2, aqi_lag_48h, aqi_rolling_24h, co, hour, rolling_30day_avg, aqi_change_rate"
72,7,0.12624864582075457,"rolling_30day_std, aqi_rolling_6h, o3, pm2_5_lag_72h, pm10, pressure, pm2_5_lag_48h, pm2_5, is_weekend, no2, wind_speed, temperature, so2, aqi_lag_48h, aqi_rolling_24h, co, hour, rolling_30day_avg, aqi_change_rate"
72,6,0.1281974506393888,"day_of_week, rolling_30day_std, aqi_rolling_6h, o3, pm2_5_lag_72h, pm10, pressure, pm2_5_lag_48h, pm2_5, is_weekend, no2, wind_speed, temperature, so2, aqi_lag_48h, aqi_rolling_24h, co, hour, rolling_30day_avg, aqi_change_rate"
72,5,0.129373807324504,"pm2_5_lag_24h, day_of_week, rolling_30day_std, aqi_rolling_6h, o3, pm2_5_lag_72h, pm10, pressure, pm2_5_lag_48h, pm2_5, is_weekend, no2, wind_speed, temperature, so2, aqi_lag_48h, aqi_rolling_24h, co, hour, rolling_30day_avg, aqi_change_rate"
72,4,0.12974623801829022,"humidity, pm2_5_lag_24h, day_of_week, rolling_30day_std, aqi_rolling_6h, o3, pm2_5_lag_72h, pm10, pressure, pm2_5_lag_48h, pm2_5, is_weekend, no2, wind_speed, temperature, so2, aqi_lag_48h, aqi_rolling_24h, co, hour, rolling_30day_avg, aqi_change_rate"
72,3,0.09702241192158434,"aqi_lag_72h, humidity, pm2_5_lag_24h, day_of_week, rolling_30day_std, aqi_rolling_6h, o3, pm2_5_lag_72h, pm10, pressure, pm2_5_lag_48h, pm2_5, is_weekend, no2, wind_speed, temperature, so2, aqi_lag_48h, aqi_rolling_24h, co, hour, rolling_30day_avg, aqi_change_rate"
